Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
no GRD< HC;L_superiortemporal_thickavg;-0.03;;-0.11;0.04;;;0.42;
no GRD< HC;L_supramarginal_thickavg;-0.11;;-0.18;-0.03;;;6.39e-03;
no GRD< HC;L_frontalpole_thickavg;0.04;;-0.04;0.11;;;0.34;
no GRD< HC;L_temporalpole_thickavg;-0.01;;-0.09;0.06;;;0.78;
no GRD< HC;L_transversetemporal_thickavg;-0.05;;-0.13;0.02;;;0.16;
no GRD< HC;L_insula_thickavg;-0.07;;-0.14;0.01;;;0.08;
no GRD< HC;R_bankssts_thickavg;-0.05;;-0.13;0.02;;;0.15;
no GRD< HC;R_caudalanteriorcingulate_thickavg;-0.08;;-0.16;-0.01;;;0.03;
no GRD< HC;R_caudalmiddlefrontal_thickavg;-0.04;;-0.11;0.04;;;0.35;
no GRD< HC;R_cuneus_thickavg;-0.08;;-0.16;-0.01;;;0.03;
no GRD< HC;R_entorhinal_thickavg;-0.04;;-0.12;0.03;;;0.29;
no GRD< HC;R_fusiform_thickavg;-0.07;;-0.14;0.01;;;0.07;
no GRD< HC;R_inferiorparietal_thickavg;-0.07;;-0.15;0;;;0.06;
no GRD< HC;R_inferiortemporal_thickavg;-0.01;;-0.08;0.07;;;0.82;
no GRD< HC;R_isthmuscingulate_thickavg;0.08;;0.01;0.16;;;0.03;
no GRD< HC;R_lateraloccipital_thickavg;-0.02;;-0.09;0.06;;;0.64;
no GRD< HC;R_lateralorbitofrontal_thickavg;-0.04;;-0.11;0.04;;;0.31;
no GRD< HC;R_lingual_thickavg;-0.01;;-0.09;0.06;;;0.70;
no GRD< HC;R_medialorbitofrontal_thickavg;-0.08;;-0.15;0;;;0.04;
no GRD< HC;R_middletemporal_thickavg;-0.06;;-0.13;0.02;;;0.12;
no GRD< HC;R_parahippocampal_thickavg;0.06;;-0.01;0.14;;;0.11;
no GRD< HC;R_paracentral_thickavg;0;;-0.08;0.07;;;0.92;
no GRD< HC;R_parsopercularis_thickavg;-0.02;;-0.1;0.05;;;0.59;
no GRD< HC;R_parsorbitalis_thickavg;0.03;;-0.05;0.1;;;0.45;
no GRD< HC;R_parstriangularis_thickavg;0.01;;-0.06;0.09;;;0.73;
no GRD< HC;R_pericalcarine_thickavg;-0.11;;-0.18;-0.03;;;5.86e-03;
no GRD< HC;R_postcentral_thickavg;-0.05;;-0.12;0.03;;;0.23;
no GRD< HC;R_posteriorcingulate_thickavg;-0.07;;-0.14;0.01;;;0.09;
no GRD< HC;R_precentral_thickavg;0.01;;-0.06;0.09;;;0.71;
no GRD< HC;R_precuneus_thickavg;-0.04;;-0.11;0.04;;;0.31;
no GRD< HC;R_rostralanteriorcingulate_thickavg;-0.08;;-0.15;0;;;0.04;
no GRD< HC;R_rostralmiddlefrontal_thickavg;-0.01;;-0.08;0.07;;;0.83;
no GRD< HC;R_superiorfrontal_thickavg;-0.11;;-0.19;-0.04;;;3.13e-03;
no GRD< HC;R_superiorparietal_thickavg;0.03;;-0.04;0.11;;;0.41;
no GRD< HC;R_superiortemporal_thickavg;-0.06;;-0.13;0.02;;;0.15;
no GRD< HC;R_supramarginal_thickavg;-0.06;;-0.14;0.01;;;0.10;
no GRD< HC;R_frontalpole_thickavg;0.04;;-0.03;0.12;;;0.25;
no GRD< HC;R_temporalpole_thickavg;0.03;;-0.04;0.11;;;0.37;
no GRD< HC;R_transversetemporal_thickavg;-0.01;;-0.09;0.06;;;0.70;
no GRD< HC;R_insula_thickavg;-0.04;;-0.12;0.03;;;0.26;
