Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;
psychosisvsCN;L_pericalcarine_thickavg;-0,05;;-0,12;0,02;;;0,2;0,32;;;
psychosisvsCN;L_postcentral_thickavg;0;;-0,07;0,07;;;0,99;0,99;;;
psychosisvsCN;L_posteriorcingulate_thickavg;-0,04;;-0,11;0,03;;;0,31;0,44;;;
psychosisvsCN;L_precentral_thickavg;0,05;;-0,02;0,12;;;0,14;0,26;;;
psychosisvsCN;L_precuneus_thickavg;-0,03;;-0,1;0,04;;;0,38;0,53;;;
psychosisvsCN;L_rostralanteriorcingulate_thickavg;-0,12;;-0,19;-0,04;;;1,43E-03;7,50E-03;;;
psychosisvsCN;L_rostralmiddlefrontal_thickavg;-0,01;;-0,08;0,06;;;0,75;0,82;;;
psychosisvsCN;L_superiorfrontal_thickavg;-0,03;;-0,1;0,05;;;0,48;0,62;;;
psychosisvsCN;L_superiorparietal_thickavg;0,01;;-0,06;0,08;;;0,81;0,87;;;
psychosisvsCN;L_superiortemporal_thickavg;-0,03;;-0,1;0,04;;;0,42;0,56;;;
psychosisvsCN;L_supramarginal_thickavg;-0,11;;-0,18;-0,04;;;2,69E-03;0,01;;;
psychosisvsCN;L_frontalpole_thickavg;0,04;;-0,03;0,11;;;0,25;0,37;;;
psychosisvsCN;L_temporalpole_thickavg;-0,03;;-0,1;0,04;;;0,4;0,55;;;
psychosisvsCN;L_transversetemporal_thickavg;-0,04;;-0,11;0,03;;;0,23;0,35;;;
psychosisvsCN;L_insula_thickavg;-0,06;;-0,13;0,01;;;0,11;0,21;;;
psychosisvsCN;R_bankssts_thickavg;-0,07;;-0,15;0;;;0,04;0,09;;;
psychosisvsCN;R_caudalanteriorcingulate_thickavg;-0,08;;-0,15;-0,01;;;0,04;0,08;;;
psychosisvsCN;R_caudalmiddlefrontal_thickavg;-0,02;;-0,09;0,05;;;0,57;0,7;;;
psychosisvsCN;R_cuneus_thickavg;-0,08;;-0,15;-0,01;;;0,03;0,08;;;
psychosisvsCN;R_entorhinal_thickavg;-0,02;;-0,1;0,05;;;0,5;0,64;;;
psychosisvsCN;R_fusiform_thickavg;-0,07;;-0,14;0;;;0,04;0,09;;;
psychosisvsCN;R_inferiorparietal_thickavg;-0,1;;-0,17;-0,03;;;6,85E-03;0,02;;;
psychosisvsCN;R_inferiortemporal_thickavg;-0,03;;-0,1;0,04;;;0,49;0,59;;;
psychosisvsCN;R_isthmuscingulate_thickavg;0,09;;0,02;0,16;;;9,49E-03;0,03;;;
psychosisvsCN;R_lateraloccipital_thickavg;-0,01;;-0,08;0,06;;;0,81;0,87;;;
psychosisvsCN;R_lateralorbitofrontal_thickavg;-0,02;;-0,09;0,05;;;0,57;0,7;;;
psychosisvsCN;R_lingual_thickavg;-0,02;;-0,09;0,05;;;0,64;0,76;;;
psychosisvsCN;R_medialorbitofrontal_thickavg;-0,08;;-0,15;-0,01;;;0,03;0,07;;;
psychosisvsCN;R_middletemporal_thickavg;-0,07;;-0,14;0;;;0,05;0,11;;;
psychosisvsCN;R_parahippocampal_thickavg;0,06;;-0,02;0,13;;;0,13;0,23;;;
psychosisvsCN;R_paracentral_thickavg;0,02;;-0,05;0,09;;;0,59;0,72;;;
psychosisvsCN;R_parsopercularis_thickavg;-0,01;;-0,08;0,06;;;0,81;0,87;;;
psychosisvsCN;R_parsorbitalis_thickavg;0,03;;-0,04;0,1;;;0,44;0,59;;;
psychosisvsCN;R_parstriangularis_thickavg;0,01;;-0,06;0,08;;;0,71;0,81;;;
psychosisvsCN;R_pericalcarine_thickavg;-0,09;;-0,17;-0,02;;;9,29E-03;0,03;;;
psychosisvsCN;R_postcentral_thickavg;-0,04;;-0,11;0,03;;;0,26;0,38;;;
psychosisvsCN;R_posteriorcingulate_thickavg;-0,06;;-0,13;0,01;;;0,08;0,17;;;
psychosisvsCN;R_precentral_thickavg;0,01;;-0,06;0,08;;;0,72;0,81;;;
psychosisvsCN;R_precuneus_thickavg;-0,04;;-0,11;0,03;;;0,31;0,44;;;
psychosisvsCN;R_rostralanteriorcingulate_thickavg;-0,06;;-0,13;0,01;;;0,09;0,17;;;
psychosisvsCN;R_rostralmiddlefrontal_thickavg;-0,02;;-0,09;0,05;;;0,55;0,69;;;
psychosisvsCN;R_superiorfrontal_thickavg;-0,09;;-0,16;-0,02;;;0,01;0,03;;;
psychosisvsCN;R_superiorparietal_thickavg;0,01;;-0,06;0,08;;;0,73;0,81;;;
psychosisvsCN;R_superiortemporal_thickavg;-0,05;;-0,12;0,02;;;0,18;0,3;;;
psychosisvsCN;R_supramarginal_thickavg;-0,07;;-0,14;0;;;0,06;0,12;;;
psychosisvsCN;R_frontalpole_thickavg;0,05;;-0,03;0,12;;;0,21;0,32;;;
psychosisvsCN;R_temporalpole_thickavg;0,05;;-0,02;0,12;;;0,18;0,3;;;
psychosisvsCN;R_transversetemporal_thickavg;-0,02;;-0,09;0,06;;;0,67;0,78;;;
psychosisvsCN;R_insula_thickavg;-0,04;;-0,11;0,03;;;0,3;0,43;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
