CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;
HY2PDvsH3YPD;L_posteriorcingulate_thickavg;-0.091;0.014;-0.048;0.007;-0.861;1054;259;0.142;;;;;;;;;;;;;
HY2PDvsH3YPD;L_precentral_thickavg;-0.140;0.014;-0.061;-0.006;-1.413;1010;246;0.017;;;;;;;;;;;;;
HY2PDvsH3YPD;L_precuneus_thickavg;-0.207;0.012;-0.066;-0.019;-1.920;1053;257;<0.001;;;;;;;;;;;;;
HY2PDvsH3YPD;L_rostralanteriorcingulate_thickavg;-0.060;0.020;-0.056;0.020;-0.649;1040;257;0.361;;;;;;;;;;;;;
HY2PDvsH3YPD;L_rostralmiddlefrontal_thickavg;-0.197;0.011;-0.059;-0.016;-1.672;1042;258;0.001;;;;;;;;;;;;;
HY2PDvsH3YPD;L_superiorfrontal_thickavg;-0.153;0.012;-0.054;-0.006;-1.183;1025;252;0.014;;;;;;;;;;;;;
HY2PDvsH3YPD;L_superiorparietal_thickavg;-0.156;0.012;-0.055;-0.009;-1.565;1019;244;0.006;;;;;;;;;;;;;
HY2PDvsH3YPD;L_superiortemporal_thickavg;-0.214;0.014;-0.078;-0.022;-1.940;903;212;0.001;;;;;;;;;;;;;
HY2PDvsH3YPD;L_supramarginal_thickavg;-0.201;0.012;-0.066;-0.017;-1.771;1000;246;0.001;;;;;;;;;;;;;
HY2PDvsH3YPD;L_frontalpole_thickavg;-0.059;0.022;-0.062;0.023;-0.731;1053;260;0.367;;;;;;;;;;;;;
HY2PDvsH3YPD;L_temporalpole_thickavg;-0.013;0.028;-0.061;0.050;-0.155;1004;238;0.847;;;;;;;;;;;;;
HY2PDvsH3YPD;L_transversetemporal_thickavg;-0.059;0.017;-0.051;0.017;-0.779;1058;260;0.336;;;;;;;;;;;;;
HY2PDvsH3YPD;L_insula_thickavg;-0.008;0.015;-0.031;0.028;-0.062;1052;255;0.905;;;;;;;;;;;;;
HY2PDvsH3YPD;R_bankssts_thickavg;-0.145;0.015;-0.068;-0.008;-1.581;1003;241;0.013;;;;;;;;;;;;;
HY2PDvsH3YPD;R_caudalanteriorcingulate_thickavg;-0.029;0.020;-0.049;0.030;-0.377;1046;258;0.644;;;;;;;;;;;;;
HY2PDvsH3YPD;R_caudalmiddlefrontal_thickavg;-0.125;0.013;-0.052;<0.001;-1.098;1048;257;0.046;;;;;;;;;;;;;
HY2PDvsH3YPD;R_cuneus_thickavg;-0.110;0.012;-0.048;<0.001;-1.348;953;230;0.049;;;;;;;;;;;;;
HY2PDvsH3YPD;R_entorhinal_thickavg;-0.124;0.030;-0.128;-0.012;-2.103;998;244;0.019;;;;;;;;;;;;;
HY2PDvsH3YPD;R_fusiform_thickavg;-0.123;0.015;-0.068;-0.008;-1.477;1047;255;0.013;;;;;;;;;;;;;
HY2PDvsH3YPD;R_inferiorparietal_thickavg;-0.159;0.012;-0.058;-0.010;-1.469;1018;252;0.005;;;;;;;;;;;;;
HY2PDvsH3YPD;R_inferiortemporal_thickavg;-0.079;0.014;-0.048;0.008;-0.749;1025;242;0.166;;;;;;;;;;;;;
HY2PDvsH3YPD;R_isthmuscingulate_thickavg;-0.114;0.016;-0.062;0.001;-1.325;1047;258;0.061;;;;;;;;;;;;;
HY2PDvsH3YPD;R_lateraloccipital_thickavg;-0.154;0.012;-0.056;-0.007;-1.476;1035;252;0.011;;;;;;;;;;;;;
HY2PDvsH3YPD;R_lateralorbitofrontal_thickavg;-0.053;0.013;-0.040;0.013;-0.553;1051;259;0.310;;;;;;;;;;;;;
HY2PDvsH3YPD;R_lingual_thickavg;-0.112;0.011;-0.046;-0.002;-1.219;996;245;0.035;;;;;;;;;;;;;
HY2PDvsH3YPD;R_medialorbitofrontal_thickavg;-0.003;0.014;-0.028;0.027;-0.030;1037;256;0.961;;;;;;;;;;;;;
HY2PDvsH3YPD;R_middletemporal_thickavg;-0.155;0.014;-0.066;-0.011;-1.438;1018;251;0.007;;;;;;;;;;;;;
HY2PDvsH3YPD;R_parahippocampal_thickavg;-0.188;0.021;-0.106;-0.025;-2.599;1044;258;0.002;;;;;;;;;;;;;
HY2PDvsH3YPD;R_paracentral_thickavg;-0.098;0.015;-0.053;0.005;-1.068;1040;254;0.101;;;;;;;;;;;;;
HY2PDvsH3YPD;R_parsopercularis_thickavg;-0.067;0.012;-0.039;0.010;-0.593;1052;259;0.251;;;;;;;;;;;;;
HY2PDvsH3YPD;R_parsorbitalis_thickavg;0.025;0.015;-0.024;0.037;0.254;1048;258;0.678;;;;;;;;;;;;;
HY2PDvsH3YPD;R_parstriangularis_thickavg;-0.044;0.012;-0.033;0.015;-0.395;1045;259;0.459;;;;;;;;;;;;;
HY2PDvsH3YPD;R_pericalcarine_thickavg;-0.086;0.013;-0.046;0.005;-1.300;935;222;0.109;;;;;;;;;;;;;
HY2PDvsH3YPD;R_postcentral_thickavg;-0.080;0.011;-0.038;0.005;-0.849;996;244;0.135;;;;;;;;;;;;;
HY2PDvsH3YPD;R_posteriorcingulate_thickavg;-0.154;0.013;-0.063;-0.010;-1.571;1054;259;0.006;;;;;;;;;;;;;
HY2PDvsH3YPD;R_precentral_thickavg;-0.120;0.014;-0.056;-0.001;-1.226;1008;247;0.042;;;;;;;;;;;;;
HY2PDvsH3YPD;R_precuneus_thickavg;-0.176;0.012;-0.059;-0.012;-1.605;1050;258;0.003;;;;;;;;;;;;;
HY2PDvsH3YPD;R_rostralanteriorcingulate_thickavg;0.140;0.020;0.008;0.088;1.790;1038;255;0.019;;;;;;;;;;;;;
HY2PDvsH3YPD;R_rostralmiddlefrontal_thickavg;-0.068;0.011;-0.037;0.007;-0.663;1048;259;0.193;;;;;;;;;;;;;
HY2PDvsH3YPD;R_superiorfrontal_thickavg;-0.121;0.012;-0.049;-0.002;-1.011;1026;251;0.034;;;;;;;;;;;;;
HY2PDvsH3YPD;R_superiorparietal_thickavg;-0.145;0.012;-0.055;-0.008;-1.538;1023;247;0.008;;;;;;;;;;;;;
HY2PDvsH3YPD;R_superiortemporal_thickavg;-0.115;0.013;-0.057;-0.004;-1.188;958;239;0.024;;;;;;;;;;;;;
HY2PDvsH3YPD;R_supramarginal_thickavg;-0.170;0.012;-0.060;-0.011;-1.492;1013;250;0.005;;;;;;;;;;;;;
HY2PDvsH3YPD;R_frontalpole_thickavg;-0.044;0.022;-0.058;0.027;-0.600;1052;257;0.474;;;;;;;;;;;;;
HY2PDvsH3YPD;R_temporalpole_thickavg;-0.077;0.029;-0.093;0.019;-1.038;1001;241;0.195;;;;;;;;;;;;;
HY2PDvsH3YPD;R_transversetemporal_thickavg;-0.093;0.019;-0.075;<0.001;-1.686;1057;259;0.050;;;;;;;;;;;;;
HY2PDvsH3YPD;R_insula_thickavg;0.001;0.016;-0.032;0.033;0.015;1043;256;0.980;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
