CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
CHR-PS+ < CHR-PS-;R_fusiform_thickavg;-0.13;;-0.31;0.04;;;0.06;
CHR-PS+ < CHR-PS-;R_inferiorparietal_thickavg;0.02;;-0.15;0.2;;;0.72;
CHR-PS+ < CHR-PS-;R_inferiortemporal_thickavg;-0.01;;-0.18;0.17;;;0.90;
CHR-PS+ < CHR-PS-;R_isthmuscingulate_thickavg;0.04;;-0.14;0.21;;;0.60;
CHR-PS+ < CHR-PS-;R_lateraloccipital_thickavg;-0.07;;-0.24;0.11;;;0.32;
CHR-PS+ < CHR-PS-;R_lateralorbitofrontal_thickavg;0;;-0.17;0.18;;;0.98;
CHR-PS+ < CHR-PS-;R_lingual_thickavg;-0.02;;-0.19;0.16;;;0.81;
CHR-PS+ < CHR-PS-;R_medialorbitofrontal_thickavg;0.01;;-0.16;0.19;;;0.88;
CHR-PS+ < CHR-PS-;R_middletemporal_thickavg;-0.10;;-0.27;0.08;;;0.17;
CHR-PS+ < CHR-PS-;R_parahippocampal_thickavg;-0.01;;-0.18;0.17;;;0.91;
CHR-PS+ < CHR-PS-;R_paracentral_thickavg;-0.20;;-0.38;-0.02;;;3.95e-03;
CHR-PS+ < CHR-PS-;R_parsopercularis_thickavg;-0.05 ;;-0.22;0.13;;;0.51;
CHR-PS+ < CHR-PS-;R_parsorbitalis_thickavg;-0.03;;-0.21;0.14;;;0.62;
CHR-PS+ < CHR-PS-;R_parstriangularis_thickavg;-0.06;;-0.23;0.12;;;0.41;
CHR-PS+ < CHR-PS-;R_pericalcarine_thickavg;-0.01;;-0.19;0.17;;;0.90;
CHR-PS+ < CHR-PS-;R_postcentral_thickavg;-0.09;;-0.27;0.08;;;0.18;
CHR-PS+ < CHR-PS-;R_posteriorcingulate_thickavg;-0.07;;-0.25;0.11;;;0.32;
CHR-PS+ < CHR-PS-;R_precentral_thickavg;-0.10;;-0.28;0.07;;;0.15;
CHR-PS+ < CHR-PS-;R_precuneus_thickavg;0;;-0.18;0.17;;;0.96;
CHR-PS+ < CHR-PS-;R_rostralanteriorcingulate_thickavg;-0.04;;-0.21;0.14;;;0.59;
CHR-PS+ < CHR-PS-;R_rostralmiddlefrontal_thickavg;-0.07;;-0.25;0.1;;;0.29;
CHR-PS+ < CHR-PS-;R_superiorfrontal_thickavg;-0.05;;-0.23;0.12;;;0.47;
CHR-PS+ < CHR-PS-;R_superiorparietal_thickavg;0;;-0.18;0.17;;;0.99;
CHR-PS+ < CHR-PS-;R_superiortemporal_thickavg;-0.17;;-0.35;0;;;0.01;
CHR-PS+ < CHR-PS-;R_supramarginal_thickavg;-0.01;;-0.19;0.16;;;0.86;
CHR-PS+ < CHR-PS-;R_frontalpole_thickavg;-0.06;;-0.24;0.11;;;0.36;
CHR-PS+ < CHR-PS-;R_temporalpole_thickavg;-0.03;;-0.2;0.15;;;0.68;
CHR-PS+ < CHR-PS-;R_transversetemporal_thickavg;-0.11;;-0.29;0.06;;;0.11;
CHR-PS+ < CHR-PS-;R_insula_thickavg;-0.02;;-0.2;0.15;;;0.72;
