Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;;;
APS< HC;L_pericalcarine_thickavg;-0.05;;-0.13;0.02;;;0.16;;;;;;;;;;;;;;;
APS< HC;L_postcentral_thickavg;0.01;;-0.07;0.08;;;0.85;;;;;;;;;;;;;;;
APS< HC;L_posteriorcingulate_thickavg;-0.05;;-0.12;0.03;;;0.22;;;;;;;;;;;;;;;
APS< HC;L_precentral_thickavg;0.04;;-0.03;0.12;;;0.29;;;;;;;;;;;;;;;
APS< HC;L_precuneus_thickavg;-0.04;;-0.11;0.04;;;0.34;;;;;;;;;;;;;;;
APS< HC;L_rostralanteriorcingulate_thickavg;-0.12;;-0.2;-0.05;;;1.75e-03;;;;;;;;;;;;;;;
APS< HC;L_rostralmiddlefrontal_thickavg;-0.02;;-0.1;0.06;;;0.62;;;;;;;;;;;;;;;
APS< HC;L_superiorfrontal_thickavg;-0.06;;-0.14;0.02;;;0.13;;;;;;;;;;;;;;;
APS< HC;L_superiorparietal_thickavg;0.01;;-0.07;0.08;;;0.83;;;;;;;;;;;;;;;
APS< HC;L_superiortemporal_thickavg;-0.03;;-0.1;0.05;;;0.51;;;;;;;;;;;;;;;
APS< HC;L_supramarginal_thickavg;-0.10;;-0.18;-0.02;;;0.01;;;;;;;;;;;;;;;
APS< HC;L_frontalpole_thickavg;0.04;;-0.04;0.11;;;0.34;;;;;;;;;;;;;;;
APS< HC;L_temporalpole_thickavg;-0.01;;-0.08;0.07;;;0.88;;;;;;;;;;;;;;;
APS< HC;L_transversetemporal_thickavg;-0.05;;-0.13;0.03;;;0.20;;;;;;;;;;;;;;;
APS< HC;L_insula_thickavg;-0.06;;-0.14;0.01;;;0.11;;;;;;;;;;;;;;;
APS< HC;R_bankssts_thickavg;-0.07;;-0.14;0.01;;;0.09;;;;;;;;;;;;;;;
APS< HC;R_caudalanteriorcingulate_thickavg;-0.09;;-0.17;-0.01;;;0.02;;;;;;;;;;;;;;;
APS< HC;R_caudalmiddlefrontal_thickavg;-0.05;;-0.12;0.03;;;0.24;;;;;;;;;;;;;;;
APS< HC;R_cuneus_thickavg;-0.08;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;
APS< HC;R_entorhinal_thickavg;-0.05;;-0.12;0.03;;;0.25;;;;;;;;;;;;;;;
APS< HC;R_fusiform_thickavg;-0.08;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;
APS< HC;R_inferiorparietal_thickavg;-0.08;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;
APS< HC;R_inferiortemporal_thickavg;-0.02;;-0.1;0.06;;;0.62;;;;;;;;;;;;;;;
APS< HC;R_isthmuscingulate_thickavg;0.08;;0;0.15;;;0.04;;;;;;;;;;;;;;;
APS< HC;R_lateraloccipital_thickavg;-0.03;;-0.1;0.05;;;0.47;;;;;;;;;;;;;;;
APS< HC;R_lateralorbitofrontal_thickavg;-0.03;;-0.11;0.04;;;0.39;;;;;;;;;;;;;;;
APS< HC;R_lingual_thickavg;-0.02;;-0.09;0.06;;;0.66;;;;;;;;;;;;;;;
APS< HC;R_medialorbitofrontal_thickavg;-0.08;;-0.15;0;;;0.04;;;;;;;;;;;;;;;
APS< HC;R_middletemporal_thickavg;-0.07;;-0.14;0.01;;;0.09;;;;;;;;;;;;;;;
APS< HC;R_parahippocampal_thickavg;0.06;;-0.02;0.13;;;0.15;;;;;;;;;;;;;;;
APS< HC;R_paracentral_thickavg;-0.01;;-0.08;0.07;;;0.88;;;;;;;;;;;;;;;
APS< HC;R_parsopercularis_thickavg;-0.03;;-0.1;0.05;;;0.49;;;;;;;;;;;;;;;
APS< HC;R_parsorbitalis_thickavg;0.03;;-0.05;0.11;;;0.45;;;;;;;;;;;;;;;
APS< HC;R_parstriangularis_thickavg;0.01;;-0.06;0.09;;;0.76;;;;;;;;;;;;;;;
APS< HC;R_pericalcarine_thickavg;-0.10;;-0.18;-0.02;;;9.71e-03;;;;;;;;;;;;;;;
APS< HC;R_postcentral_thickavg;-0.04;;-0.12;0.04;;;0.29;;;;;;;;;;;;;;;
APS< HC;R_posteriorcingulate_thickavg;-0.06;;-0.14;0.01;;;0.10;;;;;;;;;;;;;;;
APS< HC;R_precentral_thickavg;0.01;;-0.07;0.09;;;0.77;;;;;;;;;;;;;;;
APS< HC;R_precuneus_thickavg;-0.04;;-0.11;0.04;;;0.34;;;;;;;;;;;;;;;
APS< HC;R_rostralanteriorcingulate_thickavg;-0.09;;-0.16;-0.01;;;0.02;;;;;;;;;;;;;;;
APS< HC;R_rostralmiddlefrontal_thickavg;-0.02;;-0.1;0.05;;;0.58;;;;;;;;;;;;;;;
APS< HC;R_superiorfrontal_thickavg;-0.12;;-0.19;-0.04;;;2.39e-03;;;;;;;;;;;;;;;
APS< HC;R_superiorparietal_thickavg;0.02;;-0.06;0.09;;;0.66;;;;;;;;;;;;;;;
APS< HC;R_superiortemporal_thickavg;-0.06;;-0.13;0.02;;;0.14;;;;;;;;;;;;;;;
APS< HC;R_supramarginal_thickavg;-0.07;;-0.14;0.01;;;0.09;;;;;;;;;;;;;;;
APS< HC;R_frontalpole_thickavg;0.04;;-0.03;0.12;;;0.27;;;;;;;;;;;;;;;
APS< HC;R_temporalpole_thickavg;0.03;;-0.05;0.11;;;0.42;;;;;;;;;;;;;;;
APS< HC;R_transversetemporal_thickavg;-0.01;;-0.09;0.06;;;0.71;;;;;;;;;;;;;;;
APS< HC;R_insula_thickavg;-0.04;;-0.12;0.04;;;0.31;;;;;;;;;;;;;;;
