CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
no BIPS< HC;L_rostralanteriorcingulate_thickavg;-0.09;;-0.17;-0.02;;;0.01;
no BIPS< HC;L_rostralmiddlefrontal_thickavg;-0.12;;-0.19;-0.04;;;1.78e-03;
no BIPS< HC;L_superiorfrontal_thickavg;-0.09;;-0.17;-0.02;;;0.01;
no BIPS< HC;L_superiorparietal_thickavg;-0.09;;-0.17;-0.02;;;0.01;
no BIPS< HC;L_superiortemporal_thickavg;-0.11;;-0.18;-0.03;;;4.73e-03;
no BIPS< HC;L_supramarginal_thickavg;-0.09;;-0.16;-0.02;;;0.02;
no BIPS< HC;L_frontalpole_thickavg;-0.04;;-0.12;0.03;;;0.26;
no BIPS< HC;L_temporalpole_thickavg;-0.05;;-0.12;0.03;;;0.21;
no BIPS< HC;L_transversetemporal_thickavg;-0.05;;-0.13;0.02;;;0.14;
no BIPS< HC;L_insula_thickavg;-0.16;;-0.24;-0.09;;;1.38e-05;
no BIPS< HC;R_bankssts_thickavg;-0.14;;-0.21;-0.07;;;2.15e-04;
no BIPS< HC;R_caudalanteriorcingulate_thickavg;-0.06;;-0.13;0.01;;;0.12;
no BIPS< HC;R_caudalmiddlefrontal_thickavg;-0.11;;-0.19;-0.04;;;2.13e-03;
no BIPS< HC;R_cuneus_thickavg;-0.04;;-0.12;0.03;;;0.25;
no BIPS< HC;R_entorhinal_thickavg;-0.04;;-0.11;0.03;;;0.29;
no BIPS< HC;R_fusiform_thickavg;-0.10;;-0.17;-0.02;;;0.01;
no BIPS< HC;R_inferiorparietal_thickavg;-0.11;;-0.18;-0.04;;;3.62e-03;
no BIPS< HC;R_inferiortemporal_thickavg;-0.14;;-0.21;-0.06;;;2.75e-04;
no BIPS< HC;R_isthmuscingulate_thickavg;-0.05;;-0.12;0.02;;;0.17;
no BIPS< HC;R_lateraloccipital_thickavg;-0.15;;-0.22;-0.07;;;9.61e-05;
no BIPS< HC;R_lateralorbitofrontal_thickavg;-0.08;;-0.15;-0.01;;;0.03;
no BIPS< HC;R_lingual_thickavg;0.01;;-0.06;0.08;;;0.81;
no BIPS< HC;R_medialorbitofrontal_thickavg;-0.09;;-0.17;-0.02;;;0.01;
no BIPS< HC;R_middletemporal_thickavg;-0.17;;-0.25;-0.1;;;3.43e-06;
no BIPS< HC;R_parahippocampal_thickavg;-0.06;;-0.13;0.01;;;0.10;
no BIPS< HC;R_paracentral_thickavg;-0.09;;-0.17;-0.02;;;0.01;
no BIPS< HC;R_parsopercularis_thickavg;-0.06;;-0.13;0.02;;;0.13;
no BIPS< HC;R_parsorbitalis_thickavg;0.01;;-0.07;0.08;;;0.83;
no BIPS< HC;R_parstriangularis_thickavg;-0.05;;-0.12;0.03;;;0.23;
no BIPS< HC;R_pericalcarine_thickavg;0.07;;-0.01;0.14;;;0.08;
no BIPS< HC;R_postcentral_thickavg;-0.11;;-0.18;-0.04;;;3.05e-03;
no BIPS< HC;R_posteriorcingulate_thickavg;-0.12;;-0.2;-0.05;;;1.06e-03;
no BIPS< HC;R_precentral_thickavg;-0.11;;-0.19;-0.04;;;2.82e-03;
no BIPS< HC;R_precuneus_thickavg;-0.13;;-0.21;-0.06;;;3.97e-04;
no BIPS< HC;R_rostralanteriorcingulate_thickavg;-0.08;;-0.15;0;;;0.04;
no BIPS< HC;R_rostralmiddlefrontal_thickavg;-0.11;;-0.18;-0.03;;;4.29e-03;
no BIPS< HC;R_superiorfrontal_thickavg;-0.07;;-0.15;0;;;0.05;
no BIPS< HC;R_superiorparietal_thickavg;-0.11;;-0.18;-0.04;;;3.55e-03;
no BIPS< HC;R_superiortemporal_thickavg;-0.13;;-0.21;-0.06;;;3.25e-04;
no BIPS< HC;R_supramarginal_thickavg;-0.08;;-0.15;-0.01;;;0.03;
no BIPS< HC;R_frontalpole_thickavg;-0.06;;-0.14;0.01;;;0.08;
no BIPS< HC;R_temporalpole_thickavg;-0.08;;-0.15;0;;;0.04;
no BIPS< HC;R_transversetemporal_thickavg;-0.08;;-0.16;-0.01;;;0.03;
no BIPS< HC;R_insula_thickavg;-0.13;;-0.21;-0.06;;;3.77e-04;
;;;;;;;;;
