CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;fdr_p;;
HY2 PD vsCN;L_pericalcarine_thickavg;-0.086;0.007;-0.031;-0.003;-1.092;870;865;0.016;;;
HY2 PD vsCN;L_postcentral_thickavg;-0.095;0.007;-0.032;-0.004;-0.913;864;890;0.011;;;
HY2 PD vsCN;L_posteriorcingulate_thickavg;-0.057;0.009;-0.030;0.005;-0.537;904;935;0.151;;;
HY2 PD vsCN;L_precentral_thickavg;-0.071;0.009;-0.035;0.001;-0.702;860;898;0.070;;;
HY2 PD vsCN;L_precuneus_thickavg;-0.150;0.008;-0.047;-0.017;-1.427;904;934;<0.001;;;
HY2 PD vsCN;L_rostralanteriorcingulate_thickavg;0.020;0.013;-0.020;0.031;0.218;895;922;0.649;;;
HY2 PD vsCN;L_rostralmiddlefrontal_thickavg;-0.033;0.007;-0.020;0.007;-0.286;901;924;0.360;;;
HY2 PD vsCN;L_superiorfrontal_thickavg;-0.078;0.008;-0.032;<0.001;-0.629;894;909;0.045;;;
HY2 PD vsCN;L_superiorparietal_thickavg;-0.134;0.007;-0.042;-0.013;-1.337;888;904;<0.001;;;
HY2 PD vsCN;L_superiortemporal_thickavg;-0.102;0.009;-0.043;-0.006;-0.945;824;802;0.009;;;
HY2 PD vsCN;L_supramarginal_thickavg;-0.093;0.008;-0.036;-0.003;-0.836;867;886;0.018;;;
HY2 PD vsCN;L_frontalpole_thickavg;0.003;0.014;-0.027;0.029;0.034;902;935;0.950;;;
HY2 PD vsCN;L_temporalpole_thickavg;-0.158;0.018;-0.099;-0.030;-1.811;886;890;<0.001;;;
HY2 PD vsCN;L_transversetemporal_thickavg;-0.102;0.012;-0.053;-0.006;-1.355;905;939;0.013;;;
HY2 PD vsCN;L_insula_thickavg;0.064;0.010;-0.034;0.005;-0.511;901;934;0.134;;;
HY2 PD vsCN;R_bankssts_thickavg;-0.109;0.010;-0.048;-0.009;-1.185;870;887; 0.005;;;
HY2 PD vsCN;R_caudalanteriorcingulate_thickavg;0.001;0.013;-0.025;0.026;0.014;906;926;0.980;;;
HY2 PD vsCN;R_caudalmiddlefrontal_thickavg;-0.041;0.008;-0.025;0.008;-0.354;898;929;0.321;;;
HY2 PD vsCN;R_cuneus_thickavg;-0.085;0.008;-0.035;-0.003;-1.054;843;841;0.018;;;
HY2 PD vsCN;R_entorhinal_thickavg;-0.117;0.019;-0.100;-0.026;-1.858;883;881;<0.001;;;
HY2 PD vsCN;R_fusiform_thickavg;-0.132;0.010;-0.060;-0.021;-1.556;904;930;<0.001;;;
HY2 PD vsCN;R_inferiorparietal_thickavg;-0.172;0.008;-0.054;-0.022;-1.629;890;901;<0.001;;;
HY2 PD vsCN;R_inferiortemporal_thickavg;-0.107;0.009;-0.044;-0.009;-0.988;876;910;0.004;;;
HY2 PD vsCN;R_isthmuscingulate_thickavg;-0.173;0.011;-0.066;-0.025;-1.974;906;928;<0.001;;;
HY2 PD vsCN;R_lateraloccipital_thickavg;-0.136;0.008;-0.046;-0.013;-1.359;891;916;<0.001;;;
HY2 PD vsCN;R_lateralorbitofrontal_thickavg;-0.100;0.009;-0.041;-0.007;-0.980;901;931;0.005;;;
HY2 PD vsCN;R_lingual_thickavg;-0.072;0.008;-0.030;<0.001;-0.773;865;884;0.043;;;
HY2 PD vsCN;R_medialorbitofrontal_thickavg;-0.058;0.009;-0.032;0.004;-0.608;898;919;0.124;;;
HY2 PD vsCN;R_middletemporal_thickavg;-0.095;0.009;-0.042;-0.006;-0.896;874;901;0.009;;;
HY2 PD vsCN;R_parahippocampal_thickavg;-0.114;0.014;-0.065;-0.012;-1.487;905;925;0.005;;;
HY2 PD vsCN;R_paracentral_thickavg;-0.061;0.010;-0.034;0.004;-0.677;904;922;0.113;;;
HY2 PD vsCN;R_parsopercularis_thickavg;-0.043;0.008;-0.026;0.007;-0.391;906;932;0.262;;;
HY2 PD vsCN;R_parsorbitalis_thickavg;-0.075;0.010;-0.040;0.001;-0.787;904;929;0.059;;;
HY2 PD vsCN;R_parstriangularis_thickavg;-0.044;0.008;-0.025;0.006;-0.411;907;927;0.241;;;
HY2 PD vsCN;R_pericalcarine_thickavg;-0.051;0.008;-0.028;0.003;-0.761;827;828;0.128;;;
HY2 PD vsCN;R_postcentral_thickavg;-0.099;0.007;-0.034;-0.006;-1.021;871;884;0.006;;;
HY2 PD vsCN;R_posteriorcingulate_thickavg;-0.122;0.009;-0.046;-0.012;-1.227;905;934;0.001;;;
HY2 PD vsCN;R_precentral_thickavg;-0.040;0.009;-0.028;0.009;-0.412;867;896;0.309;;;
HY2 PD vsCN;R_precuneus_thickavg;-0.183;0.008;-0.055;-0.024;-1.769;905;930;<0.001;;;
HY2 PD vsCN;R_rostralanteriorcingulate_thickavg;-0.006;0.013;-0.027;0.023;-0.071;897;919;0.881;;;
HY2 PD vsCN;R_rostralmiddlefrontal_thickavg;-0.001;0.007;-0.015;0.014;-0.011;901;929;0.972;;;
HY2 PD vsCN;R_superiorfrontal_thickavg;-0.096;0.008;-0.035;-0.005;-0.790;894;910;0.010;;;
HY2 PD vsCN;R_superiorparietal_thickavg;-0.151;0.008;-0.048;-0.018;-1.618;898;908;<0.001;;;
HY2 PD vsCN;R_superiortemporal_thickavg;-0.107;0.009;-0.045;-0.011;-1.084;866;846;0.002;;;
HY2 PD vsCN;R_supramarginal_thickavg;-0.146;0.008;-0.048;-0.016;-1.340;888;898;<0.001;;;
HY2 PD vsCN;R_frontalpole_thickavg;-0.068;0.014;-0.051;0.005;-0.879;905;932;0.106;;;
HY2 PD vsCN;R_temporalpole_thickavg;-0.122;0.018;-0.091;-0.022;-1.560;879;889;0.001;;;
HY2 PD vsCN;R_transversetemporal_thickavg;-0.097;0.013;-0.064;-0.014;-1.735;907;937;0.002;;;
HY2 PD vsCN;R_insula_thickavg;-0.077;0.011;-0.042;<0.001;-0.739;897;926;0.049;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
