Surface Area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;fdr_P
HY4&5 PD vsCN;L_pericalcarine_thickavg;-0.267;31;-128.04;-6.10;-5.01;308;75;0.031;
HY4&5 PD vsCN;L_postcentral_thickavg;-0.124;50.71;-154.50;44.98;-1.33;309;81;0.281;
HY4&5 PD vsCN;L_posteriorcingulate_thickavg;-0.145;20.01;-64.34;14.35;-2.27;328;83;0.212;
HY4&5 PD vsCN;L_precentral_thickavg;-0.117;53.53;-159.14;51.44;-1.12;310;80;0.315;
HY4&5 PD vsCN;L_precuneus_thickavg;-0.424;48.56;-281.76;-90.81;-5.10;327;83;<0.001;
HY4&5 PD vsCN;L_rostralanteriorcingulate_thickavg;-0.089;17.41;-47.38;21.10;-1.61;318;83;0.451;
HY4&5 PD vsCN;L_rostralmiddlefrontal_thickavg;-0.292;73.58;-334.30;-44.91;-3.48;328;83;0.010;
HY4&5 PD vsCN;L_superiorfrontal_thickavg;-0.299;80.30;-374.12;-58.31;-3.15;319;81;0.007;
HY4&5 PD vsCN;L_superiorparietal_thickavg;-0.307;72.72;-329.22;-43.19;-3.55;317;83;0.011;
HY4&5 PD vsCN;L_superiortemporal_thickavg;-0.257;48.84;-205.22;-13.08;-2.99;294;76;0.026;
HY4&5 PD vsCN;L_supramarginal_thickavg;-0.192;59.85;-215.62;19.81;-2.66;311;83;0.103;
HY4&5 PD vsCN;L_frontalpole_thickavg;-0.179;4.04;-14.91;0.97;-3.34;325;83;0.085;
HY4&5 PD vsCN;L_temporalpole_thickavg;-0.126;7.51;-22.68;6.87;-1.68;324;80;0.293;
HY4&5 PD vsCN;L_transversetemporal_thickavg;-0.040;9.00;-20.85;14.54;-0.70;328;83;0.726;
HY4&5 PD vsCN;L_insula_thickavg;-0.146;25.95;-86.33;15.72;-1.63;326;83;0.174;
HY4&5 PD vsCN;R_bankssts_thickavg;-0.187;16.51;-59.28;5.66;-3.01;317;79;0.105;
HY4&5 PD vsCN;R_caudalanteriorcingulate_thickavg;-0.038;18.18;-41.74;29.77;-0.82;328;83;0.742;
HY4&5 PD vsCN;R_caudalmiddlefrontal_thickavg;-0.095;41.66;-115.36;48.47;-1.62;326;81;0.423;
HY4&5 PD vsCN;R_cuneus_thickavg;-0.334;25.43;-119.22;-19.15;-4.68;290;74;0.007;
HY4&5 PD vsCN;R_entorhinal_thickavg;-0.036;9.55;-21.74;15.83;-0.86;316;83;0.757;
HY4&5 PD vsCN;R_fusiform_thickavg;-0.379;41.83;-221.43;-56.91;-4.64;329;83;<0.001;
HY4&5 PD vsCN;R_inferiorparietal_thickavg;-0.249;72.92;-302.19;-15.39;-3.04;321;83;0.030;
HY4&5 PD vsCN;R_inferiortemporal_thickavg;-0.137;45.01;-142.71;34.31;-1.81;323;82;0.229;
HY4&5 PD vsCN;R_isthmuscingulate_thickavg;0.137;16.80;-12.88;53.18;2.18;329;83;0.231;
HY4&5 PD vsCN;R_lateraloccipital_thickavg;-0.249;71.68;-295.28;-13.33;-3.38;321;80;0.032;
HY4&5 PD vsCN;R_lateralorbitofrontal_thickavg;-0.211;33.15;-126.24;4.12;-2.51;329;82;0.066;
HY4&5 PD vsCN;R_lingual_thickavg;-0.305;51.41;-236.12;-33.90;-4.56;315;78;0.009;
HY4&5 PD vsCN;R_medialorbitofrontal_thickavg;-0.090;22.17;-61.54;25.67;-1.01;325;83;0.419;
HY4&5 PD vsCN;R_middletemporal_thickavg;-0.375;44.08;-232.19;-58.81;-4.50;318;82;0.001;
HY4&5 PD vsCN;R_parahippocampal_thickavg;-0.040;9.29;-21.55;14.97;-0.51;328;83;0.724;
HY4&5 PD vsCN;R_paracentral_thickavg;-0.072;22.09;-58.92;27.95;-1.04;326;83;0.484;
HY4&5 PD vsCN;R_parsopercularis_thickavg;-0.253;24.89;-103.47;-5.57;-4.05;328;83;0.029;
HY4&5 PD vsCN;R_parsorbitalis_thickavg;-0.301;11.39;-52.11;-7.30;-4.03;328;83;0.009;
HY4&5 PD vsCN;R_parstriangularis_thickavg;-0.105;24.37;-69.38;26.47;-1.53;329;83;0.379;
HY4&5 PD vsCN;R_pericalcarine_thickavg;-0.369;32.61;-161.17;-32.84;-6.61;287;71;0.003;
HY4&5 PD vsCN;R_postcentral_thickavg;-0.230;48.89;-193.12;-0.84;-2.45;314;81;0.048;
HY4&5 PD vsCN;R_posteriorcingulate_thickavg;-0.239;20.21;-82.14;-2.67;-3.72;328;81;0.037;
HY4&5 PD vsCN;R_precentral_thickavg;-0.106;53.38;-154.90;55.08;-1.03;313;81;0.350;
HY4&5 PD vsCN;R_precuneus_thickavg;-0.400;50.77;-280.69;-81.03;-4.79;328;83;<0.001;
HY4&5 PD vsCN;R_rostralanteriorcingulate_thickavg;-0.059;16.23;-40.63;23.21;-1.33;324;83;0.592;
HY4&5 PD vsCN;R_rostralmiddlefrontal_thickavg;-0.182;78.10;-280.20;26.96;-2.28;324;83;0.106;
HY4&5 PD vsCN;R_superiorfrontal_thickavg;-0.297;81.05;-370.81;-52.02;-3.19;319;82;0.009;
HY4&5 PD vsCN;R_superiorparietal_thickavg;-0.279;66.74;-292.73;-30.23;-3.09;321;83;0.016;
HY4&5 PD vsCN;R_superiortemporal_thickavg;-0.361;38.63;-200.72;-48.76;-3.59;311;80;0.001;
HY4&5 PD vsCN;R_supramarginal_thickavg;-0.239;52.40;-211.45;-5.35;-3.08;320;83;0.039;
HY4&5 PD vsCN;R_frontalpole_thickavg;0.074;5.28;-6.88;13.89;1.29;326;83;0.507;
HY4&5 PD vsCN;R_temporalpole_thickavg;-0.029;7.96;-17.69;13.61;-0.48;316;82;0.798;
HY4&5 PD vsCN;R_transversetemporal_thickavg;-0.174;6.29;-21.84;2.91;-2.86;329;83;0.134;
HY4&5 PD vsCN;R_insula_thickavg;-0.344;30.47;-153.31;-33.48;-4.18;326;83;0.002;
