Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
APS< GRD;R_cuneus_thickavg;0.01;;0.22;-0.02;;;0.90;
APS< GRD;R_entorhinal_thickavg;-0.20;;0.01;-0.4;;;0.06;
APS< GRD;R_fusiform_thickavg;-0.04;;0.17;-0.24;;;0.73;
APS< GRD;R_inferiorparietal_thickavg;0.06;;0.27;-0.14 ;;;0.56;
APS< GRD;R_inferiortemporal_thickavg;0.10;;0.3;-0.11;;;0.37;
APS< GRD;R_isthmuscingulate_thickavg;0.03;;0.23;-0.18;;;0.80;
APS< GRD;R_lateraloccipital_thickavg;0;;0.21;-0.21;;;0.98;
APS< GRD;R_lateralorbitofrontal_thickavg;-0.06;;0.15;-0.26;;;0.59;
APS< GRD;R_lingual_thickavg;0.01;;0.21;-0.2;;;0.95;
APS< GRD;R_medialorbitofrontal_thickavg;0.04;;0.25;-0.17;;;0.71;
APS< GRD;R_middletemporal_thickavg;0.04;;0.25;-0.16;;;0.69;
APS< GRD;R_parahippocampal_thickavg;-0.02;;0.19;-0.23;;;0.85;
APS< GRD;R_paracentral_thickavg;-0.17;;0.04;-0.37;;;0.11;
APS< GRD;R_parsopercularis_thickavg;-0.12;;0.09;-0.32;;;0.27;
APS< GRD;R_parsorbitalis_thickavg;-0.04;;0.17;-0.25;;;0.71;
APS< GRD;R_parstriangularis_thickavg;0.01;;0.22;-0.02;;;0.92;
APS< GRD;R_pericalcarine_thickavg;-0.02;;0.19;-0.23;;;0.86;
APS< GRD;R_postcentral_thickavg;-0.07;;0.14;-0.27;;;0.53;
APS< GRD;R_posteriorcingulate_thickavg;0.13;;0.34;-0.07;;;0.21;
APS< GRD;R_precentral_thickavg;-0.02;;0.19;-0.22;;;0.88;
APS< GRD;R_precuneus_thickavg;0;;0.21;-0.2;;;0.99;
APS< GRD;R_rostralanteriorcingulate_thickavg;-0.13;;0.08;-0.34;;;0.22;
APS< GRD;R_rostralmiddlefrontal_thickavg;0.20;;0.41;0;;;0.06;
APS< GRD;R_superiorfrontal_thickavg;-0.13;;0.08;-0.33;;;0.23;
APS< GRD;R_superiorparietal_thickavg;0.08;;0.28;-0.13;;;0.47;
APS< GRD;R_superiortemporal_thickavg;0.04;;0.25;-0.16;;;0.69;
APS< GRD;R_supramarginal_thickavg;0.08;;0.29;-0.12;;;0.43;
APS< GRD;R_frontalpole_thickavg;0.08;;0.28;-0.13;;;0.48;
APS< GRD;R_temporalpole_thickavg;-0.26;;-0.05;-0.47;;;0.01;
APS< GRD;R_transversetemporal_thickavg;0.16;;0.37;-0.04;;;0.12;
APS< GRD;R_insula_thickavg;0.01;;0.21;-0.2;;;0.95;
