CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;p
APS< no APS;L_superiorfrontal_thickavg;-0.07;0;-0.24;0.1;0;0;0.44
APS< no APS;L_superiorparietal_thickavg;-0.14;0;-0.3;0.03;0;0;0.12
APS< no APS;L_superiortemporal_thickavg;-0.07;0;-0.24;0.1;0;0;0.41
APS< no APS;L_supramarginal_thickavg;0;0;-0.16;0.17;0;0;0.97
APS< no APS;L_frontalpole_thickavg;-0.10;0;-0.27;0.06;0;0;0.23
APS< no APS;L_temporalpole_thickavg;0.01;0;-0.16;0.18;0;0;0.90
APS< no APS;L_transversetemporal_thickavg;-0.01;0;-0.18;0.16;0;0;0.88
APS< no APS;L_insula_thickavg;0;0;-0.16;0.17;0;0;0.97
APS< no APS;R_bankssts_thickavg;-0.08;0;-0.25;0.09;0;0;0.37
APS< no APS;R_caudalanteriorcingulate_thickavg;-0.14;0;-0.31;0.03;0;0;0.11
APS< no APS;R_caudalmiddlefrontal_thickavg;-0.19;0;-0.36;-0.02;0;0;0.03
APS< no APS;R_cuneus_thickavg;-0.15;0;-0.32;0.02;0;0;0.08
APS< no APS;R_entorhinal_thickavg;0.08;0;-0.09;0.25;0;0;0.33
APS< no APS;R_fusiform_thickavg;-0.05;0;-0.22;0.12;0;0;0.54
APS< no APS;R_inferiorparietal_thickavg;-0.18;0;-0.35;-0.01;0;0;0.04
APS< no APS;R_inferiortemporal_thickavg;0.01;0;-0.16;0.18;0;0;0.91
APS< no APS;R_isthmuscingulate_thickavg;-0.02;0;-0.19;0.15;0;0;0.84
APS< no APS;R_lateraloccipital_thickavg;-0.04;0;-0.21;0.14;0;0;0.69
APS< no APS;R_lateralorbitofrontal_thickavg;-0.12;0;-0.29;0.05;0;0;0.17
APS< no APS;R_lingual_thickavg;-0.06;0;-0.24;0.11;0;0;0.46
APS< no APS;R_medialorbitofrontal_thickavg;-0.10;0;-0.27;0.07;0;0;0.23
APS< no APS;R_middletemporal_thickavg;-0.09;0;-0.26;0.08;0;0;0.30
APS< no APS;R_parahippocampal_thickavg;-0.06;0;-0.23;0.11;0;0;0.50
APS< no APS;R_paracentral_thickavg;-0.19;0;-0.36;-0.02;0;0;0.03
APS< no APS;R_parsopercularis_thickavg;-0.08;0;-0.25;0.09;0;0;0.36
APS< no APS;R_parsorbitalis_thickavg;0.10;0;-0.07;0.27;0;0;0.26
APS< no APS;R_parstriangularis_thickavg;-0.05;0;-0.22;0.12;0;0;0.55
APS< no APS;R_pericalcarine_thickavg;-0.17;0;-0.34;0.01;0;0;0.06
APS< no APS;R_postcentral_thickavg;-0.05;0;-0.22;0.12;0;0;0.57
APS< no APS;R_posteriorcingulate_thickavg;-0.06;0;-0.23;0.11;0;0;0.50
APS< no APS;R_precentral_thickavg;-0.15;0;-0.32;0.02;0;0;0.08
APS< no APS;R_precuneus_thickavg;-0.07;0;-0.24;0.1;0;0;0.01
APS< no APS;R_rostralanteriorcingulate_thickavg;-0.06;0;-0.22;0.11;0;0;0.52
APS< no APS;R_rostralmiddlefrontal_thickavg;-0.02;0;-0.19;0.15;0;0;0.81
APS< no APS;R_superiorfrontal_thickavg;-0.11;0;-0.28;0.06;0;0;0.21
APS< no APS;R_superiorparietal_thickavg;-0.20;0;-0.36;-0.03;0;0;0.02
APS< no APS;R_superiortemporal_thickavg;0.07;0;-0.1;0.24;0;0;0.40
APS< no APS;R_supramarginal_thickavg;-0.05;0;-0.22;0.12;0;0;0.56
APS< no APS;R_frontalpole_thickavg;-0.03;0;-0.2;0.15;0;0;0.77
APS< no APS;R_temporalpole_thickavg;-0.05;0;-0.22;0.12;0;0;0.59
APS< no APS;R_transversetemporal_thickavg;0.05;0;-0.12;0.22;0;0;0.54
APS< no APS;R_insula_thickavg;0.01;0;-0.16;0.18;0;0;0.91
