Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
BIPS< no BIPS;L_transversetemporal_thickavg;-0.02;;-0.23;0.19;;;0.85;
BIPS< no BIPS;L_insula_thickavg;-0.11;;-0.33;0.1;;;0.30;
BIPS< no BIPS;R_bankssts_thickavg;0.11;;-0.1;0.32;;;0.32;
BIPS< no BIPS;R_caudalanteriorcingulate_thickavg;0.05;;-0.16;0.26;;;0.64;
BIPS< no BIPS;R_caudalmiddlefrontal_thickavg;0.22;;0.01;0.43;;;0.05;
BIPS< no BIPS;R_cuneus_thickavg;-0.03;;-0.24;0.19;;;0.80;
BIPS< no BIPS;R_entorhinal_thickavg;0.07;;-0.14;0.28;;;0.52;
BIPS< no BIPS;R_fusiform_thickavg;0.25;;0.04;0.46;;;0.02;
BIPS< no BIPS;R_inferiorparietal_thickavg;0.13;;-0.08;0.34;;;0.22;
BIPS< no BIPS;R_inferiortemporal_thickavg;0.21;;0;0.42;;;0.05;
BIPS< no BIPS;R_isthmuscingulate_thickavg;0.05;;-0.16;0.27;;;0.63;
BIPS< no BIPS;R_lateraloccipital_thickavg;0.12;;-0.09;0.33;;;0.27;
BIPS< no BIPS;R_lateralorbitofrontal_thickavg;-0.05;;-0.27;0.16;;;0.62;
BIPS< no BIPS;R_lingual_thickavg;-0.06;;-0.27;0.16;;;0.60;
BIPS< no BIPS;R_medialorbitofrontal_thickavg;0.01;;-0.2;0.22;;;0.91;
BIPS< no BIPS;R_middletemporal_thickavg;0.08;;-0.13;0.29;;;0.47;
BIPS< no BIPS;R_parahippocampal_thickavg;0.03;;-0.18;0.24;;;0.78;
BIPS< no BIPS;R_paracentral_thickavg;0.01;;-0.2;0.23;;;0.90;
BIPS< no BIPS;R_parsopercularis_thickavg;0.11;;-0.1;0.32;;;0.32;
BIPS< no BIPS;R_parsorbitalis_thickavg;-0.03;;-0.24;0.19;;;0.81;
BIPS< no BIPS;R_parstriangularis_thickavg;0.06;;-0.15;0.27;;;0.59;
BIPS< no BIPS;R_pericalcarine_thickavg;-0.16;;-0.38;0.06;;;0.14;
BIPS< no BIPS;R_postcentral_thickavg;-0.12;;-0.33;0.1;;;0.29;
BIPS< no BIPS;R_posteriorcingulate_thickavg;-0.01;;-0.22;0.2;;;0.91;
BIPS< no BIPS;R_precentral_thickavg;-0.01;;-0.22;0.21;;;0.95;
BIPS< no BIPS;R_precuneus_thickavg;-0.11;;-0.33;0.1;;;0.31;
BIPS< no BIPS;R_rostralanteriorcingulate_thickavg;0.09;;-0.12;0.31;;;0.40;
BIPS< no BIPS;R_rostralmiddlefrontal_thickavg;0.19;;-0.02;0.4;;;0.08;
BIPS< no BIPS;R_superiorfrontal_thickavg;0.08;;-0.13;0.29;;;0.47;
BIPS< no BIPS;R_superiorparietal_thickavg;0.18;;-0.03;0.4;;;0.09;
BIPS< no BIPS;R_superiortemporal_thickavg;0.05;;-0.16;0.26;;;0.67;
BIPS< no BIPS;R_supramarginal_thickavg;0.06;;-0.15;0.27;;;0.59;
BIPS< no BIPS;R_frontalpole_thickavg;0.03;;-0.19;0.24;;;0.81;
BIPS< no BIPS;R_temporalpole_thickavg;0.10;;-0.11;0.32;;;0.33;
BIPS< no BIPS;R_transversetemporal_thickavg;0.05;;-0.16;0.27;;;0.62;
BIPS< no BIPS;R_insula_thickavg;0;;-0.21;0.21;;;0.99;
