Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
CHR-PS+ < CHR-PS-;R_posteriorcingulate_thickavg;0.13;;-0.04;0.31;;;0.05;
CHR-PS+ < CHR-PS-;R_precentral_thickavg;0.14;;-0.04;0.32;;;0.04;
CHR-PS+ < CHR-PS-;R_precuneus_thickavg;0;;-0.18;0.17;;;0.99;
CHR-PS+ < CHR-PS-;R_rostralanteriorcingulate_thickavg;0.13;;-0.05;0.31;;;0.06;
CHR-PS+ < CHR-PS-;R_rostralmiddlefrontal_thickavg;0.09;;-0.08;0.27;;;0.19;
CHR-PS+ < CHR-PS-;R_superiorfrontal_thickavg;0.09;;-0.09;0.26;;;0.20;
CHR-PS+ < CHR-PS-;R_superiorparietal_thickavg;0.11;;-0.07;0.28;;;0.13;
CHR-PS+ < CHR-PS-;R_superiortemporal_thickavg;-0.11;;-0.28;0.07;;;0.12;
CHR-PS+ < CHR-PS-;R_supramarginal_thickavg;0.01;;-0.17;0.18;;;0.91;
CHR-PS+ < CHR-PS-;R_frontalpole_thickavg;0.01;;-0.16;0.19;;;0.85;
CHR-PS+ < CHR-PS-;R_temporalpole_thickavg;0.10;;-0.07;0.28;;;0.14;
CHR-PS+ < CHR-PS-;R_transversetemporal_thickavg;0;;-0.17;0.18;;;0.96;
CHR-PS+ < CHR-PS-;R_insula_thickavg;-0.06;;-0.24;0.11;;;0.36;
;;;;;;;;;
;;;;;;;;;
