CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;
APS <BIPS;L_precentral_thickavg;-0.03;;0.25;-0.31;;;;0.83;;;;;;;;
APS <BIPS;L_precuneus_thickavg;-0.25;;0.03;-0.54;;;;0.09;;;;;;;;
APS <BIPS;L_rostralanteriorcingulate_thickavg;0.01;;0.3;-0.27;;;;0.92;;;;;;;;
APS <BIPS;L_rostralmiddlefrontal_thickavg;0.12;;0.41;-0.16;;;;0.40;;;;;;;;
APS <BIPS;L_superiorfrontal_thickavg;-0.01;;0.27;-0.3;;;;0.93;;;;;;;;
APS <BIPS;L_superiorparietal_thickavg;-0.07;;0.21;-0.36;;;;0.61;;;;;;;;
APS <BIPS;L_superiortemporal_thickavg;-0.01;;0.28;-0.3;;;;0.96;;;;;;;;
APS <BIPS;L_supramarginal_thickavg;-0.03;;0.25;-0.31;;;;0.85;;;;;;;;
APS <BIPS;L_frontalpole_thickavg;-0.22;;0.06;-0.5;;;;0.13;;;;;;;;
APS <BIPS;L_temporalpole_thickavg;-0.04;;0.24;-0.33;;;;0.76;;;;;;;;
APS <BIPS;L_transversetemporal_thickavg;-0.03;;0.26;-0.31;;;;0.84;;;;;;;;
APS <BIPS;L_insula_thickavg;-0.09;;0.19;-0.38;;;;0.52;;;;;;;;
APS <BIPS;R_bankssts_thickavg;-0.19;;0.09;-0.48;;;;0.18;;;;;;;;
APS <BIPS;R_caudalanteriorcingulate_thickavg;0.14;;0.42;-0.15;;;;0.35;;;;;;;;
APS <BIPS;R_caudalmiddlefrontal_thickavg;-0.18;;0.11;-0.46;;;;0.22;;;;;;;;
APS <BIPS;R_cuneus_thickavg;-0.38;;-0.1;-0.67;;;;7.95e-03;;;;;;;;
APS <BIPS;R_entorhinal_thickavg;0.12;;0.41;-0.16;;;;0.40;;;;;;;;
APS <BIPS;R_fusiform_thickavg;-0.10;;0.19;-0.38;;;;0.51;;;;;;;;
APS <BIPS;R_inferiorparietal_thickavg;-0.05;;0.23;-0.34;;;;0.73;;;;;;;;
APS <BIPS;R_inferiortemporal_thickavg;0.03;;0.32;-0.25;;;;0.82;;;;;;;;
APS <BIPS;R_isthmuscingulate_thickavg;-0.01;;0.27;-0.3;;;;0.94;;;;;;;;
APS <BIPS;R_lateraloccipital_thickavg;0.06;;0.35;-0.22;;;;0.66;;;;;;;;
APS <BIPS;R_lateralorbitofrontal_thickavg;-0.09;;0.2;-0.37;;;;0.56;;;;;;;;
APS <BIPS;R_lingual_thickavg;-0.09;;0.19;-0.38;;;;0.52;;;;;;;;
APS <BIPS;R_medialorbitofrontal_thickavg;-0.08;;0.21;-0.36;;;;0.59;;;;;;;;
APS <BIPS;R_middletemporal_thickavg;0.03;;0.31;-0.26;;;;0.85;;;;;;;;
APS <BIPS;R_parahippocampal_thickavg;-0.19;;0.09;-0.47;;;;0.19;;;;;;;;
APS <BIPS;R_paracentral_thickavg;-0.31;;-0.02;-0.59;;;;0,03;;;;;;;;
APS <BIPS;R_parsopercularis_thickavg;-0.06;;0.23;-0.34;;;;0.70;;;;;;;;
APS <BIPS;R_parsorbitalis_thickavg;0.08;;0.36;-0.21;;;;0.60;;;;;;;;
APS <BIPS;R_parstriangularis_thickavg;-0.15;;0.13;-0.44;;;;0.30;;;;;;;;
APS <BIPS;R_pericalcarine_thickavg;-0.27;;0.02;-0.56;;;;0.07;;;;;;;;
APS <BIPS;R_postcentral_thickavg;0.09;;0.38;-0.2;;;;0.55;;;;;;;;
APS <BIPS;R_posteriorcingulate_thickavg;-0.04;;0.24;-0.32;;;;0.79;;;;;;;;
APS <BIPS;R_precentral_thickavg;-0.11;;0.17;-0.39;;;;0.44;;;;;;;;
APS <BIPS;R_precuneus_thickavg;-0.07;;0.22;-0.36;;;;0.63;;;;;;;;
APS <BIPS;R_rostralanteriorcingulate_thickavg;-0.23;;0.06;-0.51;;;;0.12;;;;;;;;
APS <BIPS;R_rostralmiddlefrontal_thickavg;0.02;;0.31;-0.27;;;;0.89;;;;;;;;
APS <BIPS;R_superiorfrontal_thickavg;-0.04;;0.25;-0.32;;;;0.79;;;;;;;;
APS <BIPS;R_superiorparietal_thickavg;-0.07;;0.21;-0.36;;;;0.61;;;;;;;;
APS <BIPS;R_superiortemporal_thickavg;0.07;;0.36;-0.22;;;;0.65;;;;;;;;
APS <BIPS;R_supramarginal_thickavg;0.02;;0.3;-0.27;;;;0.90;;;;;;;;
APS <BIPS;R_frontalpole_thickavg;0.12;;0.41;-0.17;;;;0.41;;;;;;;;
APS <BIPS;R_temporalpole_thickavg;-0.04;;0.24;-0.32;;;;0.77;;;;;;;;
APS <BIPS;R_transversetemporal_thickavg;0.25;;0.54;-0.03;;;;0.08;;;;;;;;
APS <BIPS;R_insula_thickavg;0.11;;0.4;-0.17;;;;0.43;;;;;;;;
