Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
GRD< HC;R_inferiorparietal_thickavg;-0.15;;-0.35;0.06;;;0.16;
GRD< HC;R_inferiortemporal_thickavg;-0.11;;-0.32;0.09;;;0.28;
GRD< HC;R_isthmuscingulate_thickavg;0.05;;-0.15;0.26;;;0.61;
GRD< HC;R_lateraloccipital_thickavg;-0.03;;-0.24;0.18;;;0.81;
GRD< HC;R_lateralorbitofrontal_thickavg;0.02;;-0.18;0.23;;;0.83;
GRD< HC;R_lingual_thickavg;-0.02;;-0.23;0.18;;;0.82;
GRD< HC;R_medialorbitofrontal_thickavg;-0.12;;-0.33;0.09;;;0.26;
GRD< HC;R_middletemporal_thickavg;-0.11;;-0.31;0.1;;;0.30;
GRD< HC;R_parahippocampal_thickavg;0.08;;-0.13;0.28;;;0.47;
GRD< HC;R_paracentral_thickavg;0.16;;-0.05;0.37;;;0.13;
GRD< HC;R_parsopercularis_thickavg;0.09;;-0.12;0.3;;;0.40;
GRD< HC;R_parsorbitalis_thickavg;0.07;;-0.14;0.28;;;0.51;
GRD< HC;R_parstriangularis_thickavg;0;;-0.2;0.21;;;0.99;
GRD< HC;R_pericalcarine_thickavg;-0.08;;-0.29;0.13;;;0.43;
GRD< HC;R_postcentral_thickavg;0.02;;-0.18;0.23;;;0.83;
GRD< HC;R_posteriorcingulate_thickavg;-0.20;;-0.4;0.01;;;0.06;
GRD< HC;R_precentral_thickavg;0.03;;-0.18;0.23;;;0.80;
GRD< HC;R_precuneus_thickavg;-0.04;;-0.25;0.17;;;0.71;
GRD< HC;R_rostralanteriorcingulate_thickavg;0.04;;-0.17;0.25;;;0.71;
GRD< HC;R_rostralmiddlefrontal_thickavg;-0.22;;-0.43;-0.02;;;0.03;
GRD< HC;R_superiorfrontal_thickavg;0.01;;-0.2;0.21;;;0.95;
GRD< HC;R_superiorparietal_thickavg;-0.06;;-0.27;0.15;;;0.58;
GRD< HC;R_superiortemporal_thickavg;-0.10;;-0.31;0.11;;;0.35;
GRD< HC;R_supramarginal_thickavg;-0.15;;-0.36;0.06;;;0.15;
GRD< HC;R_frontalpole_thickavg;-0.03;;-0.24;0.17;;;0.76;
GRD< HC;R_temporalpole_thickavg;0.29;;0.08;0.5;;;6.33e-03;
GRD< HC;R_transversetemporal_thickavg;-0.18;;-0.38;0.03;;;0.09;
GRD< HC;R_insula_thickavg;-0.05;;-0.25;0.16;;;0.65;
