Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
APS< no APS;L_frontalpole_thickavg;-0.05;0;-0.21;0.12;0;0;0.59;0
APS< no APS;L_temporalpole_thickavg;-0.02;0;-0.18;0.15;0;0;0.86;0
APS< no APS;L_transversetemporal_thickavg;-0.02;0;-0.19;0.14;0;0;0.78;0
APS< no APS;L_insula_thickavg;-0.02;0;-0.19;0.15;0;0;0.79;0
APS< no APS;R_bankssts_thickavg;-0.04;0;-0.21;0.13;0;0;0.66;0
APS< no APS;R_caudalanteriorcingulate_thickavg;-0.09;0;-0.26;0.08;0;0;0.31;0
APS< no APS;R_caudalmiddlefrontal_thickavg;-0.19;0;-0.36;-0.03;0;0;0.02;0
APS< no APS;R_cuneus_thickavg;-0.02;0;-0.19;0.15;0;0;0.78;0
APS< no APS;R_entorhinal_thickavg;-0.12;0;-0.29;0.04;0;0;0.15;0
APS< no APS;R_fusiform_thickavg;-0.14;0;-0.31;0.03;0;0;0.10;0
APS< no APS;R_inferiorparietal_thickavg;-0.01;0;-0.18;0.15;0;0;0.87;0
APS< no APS;R_inferiortemporal_thickavg;-0.06;0;-0.23;0.11;0;0;0.47;0
APS< no APS;R_isthmuscingulate_thickavg;-0.10;0;-0.27;0.07;0;0;0.26;0
APS< no APS;R_lateraloccipital_thickavg;-0.06;0;-0.23;0.11;0;0;0.51;0
APS< no APS;R_lateralorbitofrontal_thickavg;-0.05;0;-0.22;0.12;0;0;0.53;0
APS< no APS;R_lingual_thickavg;-0.06;0;-0.23;0.11;0;0;0.49;0
APS< no APS;R_medialorbitofrontal_thickavg;0;0;-0.17;0.17;0;0;1;0
APS< no APS;R_middletemporal_thickavg;0;0;-0.17;0.17;0;0;0.99;0
APS< no APS;R_parahippocampal_thickavg;0;0;-0.17;0.17;0;0;0.98;0
APS< no APS;R_paracentral_thickavg;-0.10;0;-0.27;0.07;0;0;0.26;0
APS< no APS;R_parsopercularis_thickavg;-0.11;0;-0.28;0.06;0;0;0.22;0
APS< no APS;R_parsorbitalis_thickavg;-0.07;0;-0.24;0.09;0;0;0.39;0
APS< no APS;R_parstriangularis_thickavg;-0.03;0;-0.2;0.14;0;0;0.74;0
APS< no APS;R_pericalcarine_thickavg;-0.02;0;-0.19;0.15;0;0;0.81;0
APS< no APS;R_postcentral_thickavg;0.02;0;-0.15;0.19;0;0;0.81;0
APS< no APS;R_posteriorcingulate_thickavg;0.07;0;-0.09;0.24;0;0;0.39;0
APS< no APS;R_precentral_thickavg;-0.04;0;-0.21;0.12;0;0;0.61;0
APS< no APS;R_precuneus_thickavg;0.04;0;-0.13;0.21;0;0;0.62;0
APS< no APS;R_rostralanteriorcingulate_thickavg;-0.14;0;-0.31;0.03;0;0;0.11;0
APS< no APS;R_rostralmiddlefrontal_thickavg;-0.01;0;-0.18;0.16;0;0;0.92;0
APS< no APS;R_superiorfrontal_thickavg;-0.15;0;-0.32;0.02;0;0;0.08;0
APS< no APS;R_superiorparietal_thickavg;0.01;0;-0.16;0.18;0;0;0.93;0
APS< no APS;R_superiortemporal_thickavg;0;0;-0.17;0.17;0;0;0.97;0
APS< no APS;R_supramarginal_thickavg;0.07;0;-0.1;0.24;0;0;0.86;0
APS< no APS;R_frontalpole_thickavg;-0.06;0;-0.23;0.11;0;0;0.51;0
APS< no APS;R_temporalpole_thickavg;-0.25;0;-0.42;-0.08;0;0;4.24e-03;0
APS< no APS;R_transversetemporal_thickavg;0.10;0;-0.07;0.27;0;0;0.26;0
APS< no APS;R_insula_thickavg;0;0;-0.17;0.17;0;0;0.97;0
