CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs              ,fdr_p
anorexiavsCN,R_lateralorbitofrontal,0.221917,0.052692,0.118643,0.325191,961,682,0.0000254,0.000123
anorexiavsCN,R_lingual,-0.08757,0.051544,-0.1886,0.013452,955,682,0.089321,0.138042
anorexiavsCN,R_medialorbitofrontal,0.057112,0.09883,-0.13659,0.250815,962,683,0.563342,0.598551
anorexiavsCN,R_middletemporal,0.07134,0.056959,-0.0403,0.182978,962,684,0.210397,0.275135
anorexiavsCN,R_parahippocampal,0.106097,0.051481,0.005196,0.206998,959,684,0.039313,0.070349
anorexiavsCN,R_paracentral,-0.21561,0.071084,-0.35493,-0.07629,962,684,0.00242,0.007836
anorexiavsCN,R_parsopercularis,-0.00185,0.051436,-0.10267,0.098959,962,684,0.971255,0.971255
anorexiavsCN,R_parsorbitalis,0.074566,0.051557,-0.02648,0.175615,962,683,0.148096,0.212033
anorexiavsCN,R_parstriangularis,-0.06287,0.067433,-0.19504,0.069297,962,683,0.35117,0.41894
anorexiavsCN,R_pericalcarine,0.028709,0.05979,-0.08848,0.145894,946,677,0.631115,0.660243
anorexiavsCN,R_postcentral,0.013023,0.051992,-0.08888,0.114927,930,674,0.802215,0.826525
anorexiavsCN,R_posteriorcingulate,-0.14268,0.051489,-0.2436,-0.04176,961,684,0.005588,0.014073
anorexiavsCN,R_precentral,0.084005,0.056578,-0.02689,0.194897,940,674,0.137608,0.20342
anorexiavsCN,R_precuneus,-0.30961,0.051763,-0.41106,-0.20816,962,684,0.00000000221,0.0000000502
anorexiavsCN,R_rostralanteriorcingulate,0.250762,0.076039,0.101728,0.399796,960,684,0.000974,0.003681
anorexiavsCN,R_rostralmiddlefrontal,0.171853,0.082246,0.010654,0.333052,960,682,0.036662,0.068499
anorexiavsCN,R_superiorfrontal,-0.03076,0.051463,-0.13163,0.070103,961,683,0.549998,0.593648
anorexiavsCN,R_superiorparietal,-0.34591,0.059055,-0.46166,-0.23017,962,684,0.0000000047,0.0000000799
anorexiavsCN,R_superiortemporal,0.181529,0.083423,0.018024,0.345034,960,682,0.029554,0.059108
anorexiavsCN,R_supramarginal,-0.07455,0.063554,-0.19912,0.050011,961,684,0.240771,0.308914
anorexiavsCN,R_frontalpole,0.005747,0.092881,-0.1763,0.187791,962,683,0.95066,0.964849
anorexiavsCN,R_temporalpole,0.164078,0.113888,-0.05914,0.387295,962,683,0.14967,0.212033
anorexiavsCN,R_transversetemporal,0.147524,0.051567,0.046454,0.248594,962,684,0.004226,0.011641
anorexiavsCN,R_insula,0.109133,0.114622,-0.11552,0.333788,962,683,0.341043,0.414124
