CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_contols;n_patients;pobs;fdr_p;;;;;;;
APS< HC;L_posteriorcingulate_thickavg;-0.09;;-0.17;-0.02;;;0.01;;;;;;;;
APS< HC;L_precentral_thickavg;-0.11;;-0.19;-0.04;;;2.98e-03;;;;;;;;
APS< HC;L_precuneus_thickavg;-0.11;;-0.19;-0.04;;;2.63e-03;;;;;;;;
APS< HC;L_rostralanteriorcingulate_thickavg;-0.09;;-0.16;-0.02;;;0.02;;;;;;;;
APS< HC;L_rostralmiddlefrontal_thickavg;-0.12;;-0.19;-0.05;;;1.40e-03;;;;;;;;
APS< HC;L_superiorfrontal_thickavg;-0.10;;-0.17;-0.02;;;9.21e-03;;;;;;;;
APS< HC;L_superiorparietal_thickavg;-0.10;;-0.17;-0.03;;;7.41e-03;;;;;;;;
APS< HC;L_superiortemporal_thickavg;-0.11;;-0.19;-0.04;;;2.92e-03;;;;;;;;
APS< HC;L_supramarginal_thickavg;-0.09;;-0.16;-0.02;;;0.02;;;;;;;;
APS< HC;L_frontalpole_thickavg;-0.04;;-0.12;0.03;;;0.25;;;;;;;;
APS< HC;L_temporalpole_thickavg;-0.05;;-0.12;0.02;;;0.18;;;;;;;;
APS< HC;L_transversetemporal_thickavg;-0.06;;-0.13;0.01;;;0.12;;;;;;;;
APS< HC;L_insula_thickavg;-0.16;;-0.23;-0.08;;;2.97e-05;;;;;;;;
APS< HC;R_bankssts_thickavg;-0.14;;-0.21;-0.06;;;2.44e-04;;;;;;;;
APS< HC;R_caudalanteriorcingulate_thickavg;-0.08;;-0.15;0;;;0.04;;;;;;;;
APS< HC;R_caudalmiddlefrontal_thickavg;-0.13;;-0.2;-0.05;;;7.91e-04;;;;;;;;
APS< HC;R_cuneus_thickavg;-0.05;;-0.12;0.03;;;0.23;;;;;;;;
APS< HC;R_entorhinal_thickavg;-0.04;;-0.12;0.03;;;0.24;;;;;;;;
APS< HC;R_fusiform_thickavg;-0.10;;-0.17;-0.02;;;0.01;;;;;;;;
APS< HC;R_inferiorparietal_thickavg;-0.12;;-0.19;-0.05;;;1.38e-03;;;;;;;;
APS< HC;R_inferiortemporal_thickavg;-0.13;;-0.21;-0.06;;;4.79e-04;;;;;;;;
APS< HC;R_isthmuscingulate_thickavg;-0.05;;-0.13;0.02;;;0.17;;;;;;;;
APS< HC;R_lateraloccipital_thickavg;-0.15;;-0.22;-0.08;;;7.86e-05;;;;;;;;
APS< HC;R_lateralorbitofrontal_thickavg;-0.08;;-0.15;-0.01;;;0.03;;;;;;;;
APS< HC;R_lingual_thickavg;0;;-0.07;0.08;;;0.92;;;;;;;;
APS< HC;R_medialorbitofrontal_thickavg;-0.10;;-0.17;-0.02;;;0.01;;;;;;;;
APS< HC;R_middletemporal_thickavg;-0.18;;-0.26;-0.11;;;1.20e-06;;;;;;;;
APS< HC;R_parahippocampal_thickavg;-0.06;;-0.14;0.01;;;0.09;;;;;;;;
APS< HC;R_paracentral_thickavg;-0.11;;-0.18;-0.03;;;5.03e-03;;;;;;;;
APS< HC;R_parsopercularis_thickavg;-0.07;;-0.14;0.01;;;0.08;;;;;;;;
APS< HC;R_parsorbitalis_thickavg;0.02;;-0.06;0.09;;;0.63;;;;;;;;
APS< HC;R_parstriangularis_thickavg;-0.05;;-0.12;0.03;;;0.22;;;;;;;;
APS< HC;R_pericalcarine_thickavg;0.05;;-0.02;0.13;;;0.17;;;;;;;;
APS< HC;R_postcentral_thickavg;-0.12;;-0.19;-0.04;;;2.28e-03;;;;;;;;
APS< HC;R_posteriorcingulate_thickavg;-0.12;;-0.2;-0.05;;;1.01e-03;;;;;;;;
APS< HC;R_precentral_thickavg;-0.12;;-0.2;-0.05;;;1.05e-03;;;;;;;;
APS< HC;R_precuneus_thickavg;-0.13;;-0.21;-0.06;;;3.93e-04;;;;;;;;
APS< HC;R_rostralanteriorcingulate_thickavg;-0.07;;-0.15;0;;;0.05;;;;;;;;
APS< HC;R_rostralmiddlefrontal_thickavg;-0.11;;-0.18;-0.03;;;4.40e-03;;;;;;;;
APS< HC;R_superiorfrontal_thickavg;-0.08;;-0.16;-0.01;;;0.03;;;;;;;;
APS< HC;R_superiorparietal_thickavg;-0.12;;-0.2;-0.05;;;1.06e-03;;;;;;;;
APS< HC;R_superiortemporal_thickavg;-0.13;;-0.2;-0.05;;;7.18e-04;;;;;;;;
APS< HC;R_supramarginal_thickavg;-0.09;;-0.16;-0.01;;;0.02;;;;;;;;
APS< HC;R_frontalpole_thickavg;-0.07;;-0.15;0;;;0.05;;;;;;;;
APS< HC;R_temporalpole_thickavg;-0.08;;-0.15;-0.01;;;0.03;;;;;;;;
APS< HC;R_transversetemporal_thickavg;-0.09;;-0.16;-0.01;;;0.02;;;;;;;;
APS< HC;R_insula_thickavg;-0.14;;-0.21;-0.07;;;2.31e-04;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
