CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
schizophreniavsCN;R_rostralanteriorcingulate_asy_thick.csv;0.12;0;0.07;0.18;;;;3.46E-6
schizophreniavsCN;R_rostralmiddlefrontal_asy_thick.csv;0.32;0;0.26;0.37;;;;7.03E-31
schizophreniavsCN;R_superiorfrontal_asy_thick.csv;0.35;0;0.30;0.41;;;;1.57E-37
schizophreniavsCN;R_superiorparietal_asy_thick.csv;0.28;0;0.22;0.33;;;;6.31E-24
schizophreniavsCN;R_superiortemporal_asy_thick.csv;0.41;0;0.36; 0.47;;;;1.30E-50
schizophreniavsCN;R_supramarginal_asy_thick.csv;0.39;0;0.34;0.45;;;;6.06E-46
schizophreniavsCN;R_frontalpole_asy_thick.csv;0.18;0;0.13;0.23;;;;2.18E-11
schizophreniavsCN;R_temporalpole_asy_thick.csv;0.20;0;0.14;0.25;;;;2.45E-13
schizophreniavsCN;R_transversetemporal_asy_thick.csv;0.26;0;0.20;0.31;;;;2.77E-21
schizophreniavsCN;R_insula_asy_thick.csv;0.35;0;0.30;0.40;;;;2.95E-37
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
