CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;;;;
APS< HC;R_inferiortemporal_thickavg;-0.13;;-0.2;-0.05;;;1.10e-03;;;;;;;;;;;;;;;;
APS< HC;R_isthmuscingulate_thickavg;-0.05;;-0.12;0.03;;;0.24;;;;;;;;;;;;;;;;
APS< HC;R_lateraloccipital_thickavg;-0.14;;-0.22;-0.06;;;3.37e-04;;;;;;;;;;;;;;;;
APS< HC;R_lateralorbitofrontal_thickavg;-0.08;;-0.16;-0.01;;;0.04;;;;;;;;;;;;;;;;
APS< HC;R_lingual_thickavg;0;;-0.07;0.08;;;0.95;;;;;;;;;;;;;;;;
APS< HC;R_medialorbitofrontal_thickavg;-0.11;;-0.18;-0.03;;;6.82e-03;;;;;;;;;;;;;;;;
APS< HC;R_middletemporal_thickavg;-0.18;;-0.26;-0.1;;;4.32e-06;;;;;;;;;;;;;;;;
APS< HC;R_parahippocampal_thickavg;-0.06;;-0.14;0.02;;;0.12;;;;;;;;;;;;;;;;
APS< HC;R_paracentral_thickavg;-0.09;;-0.17;-0.02;;;0.02;;;;;;;;;;;;;;;;
APS< HC;R_parsopercularis_thickavg;-0.04;;-0.12;0.04;;;0.29;;;;;;;;;;;;;;;;
APS< HC;R_parsorbitalis_thickavg;0.02;;-0.05;0.1;;;0.58;;;;;;;;;;;;;;;;
APS< HC;R_parstriangularis_thickavg;-0.04;;-0.12;0.03;;;0.27;;;;;;;;;;;;;;;;
APS< HC;R_pericalcarine_thickavg;0.06;;-0.02;0.13;;;0.14;;;;;;;;;;;;;;;;
APS< HC;R_postcentral_thickavg;-0.11;;-0.19;-0.04;;;4.13e-03;;;;;;;;;;;;;;;;
APS< HC;R_posteriorcingulate_thickavg;-0.12;;-0.2;-0.05;;;1.42e-03;;;;;;;;;;;;;;;;
APS< HC;R_precentral_thickavg;-0.12;;-0.19;-0.04;;;2.68e-03;;;;;;;;;;;;;;;;
APS< HC;R_precuneus_thickavg;-0.12;;-0.19;-0.04;;;3.06e-03;;;;;;;;;;;;;;;;
APS< HC;R_rostralanteriorcingulate_thickavg;-0.08;;-0.15;0;;;0.05;;;;;;;;;;;;;;;;
APS< HC;R_rostralmiddlefrontal_thickavg;-0.11;;-0.18;-0.03;;;5.32e-03;;;;;;;;;;;;;;;;
APS< HC;R_superiorfrontal_thickavg;-0.08;;-0.15;0;;;0.05;;;;;;;;;;;;;;;;
APS< HC;R_superiorparietal_thickavg;-0.12;;-0.19;-0.04;;;2.78e-03;;;;;;;;;;;;;;;;
APS< HC;R_superiortemporal_thickavg;-0.13;;-0.21;-0.06;;;7.14e-04;;;;;;;;;;;;;;;;
APS< HC;R_supramarginal_thickavg;-0.09;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;;
APS< HC;R_frontalpole_thickavg;-0.07;;-0.14;0.01;;;0.09;;;;;;;;;;;;;;;;
APS< HC;R_temporalpole_thickavg;-0.09;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;;
APS< HC;R_transversetemporal_thickavg;-0.08;;-0.16;0;;;0.04;;;;;;;;;;;;;;;;
APS< HC;R_insula_thickavg;-0.14;;-0.21;-0.06;;;3.83e-04;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
